Epoch 0: D_Loss=1.1718, G_Loss=2.9096, Disc_Acc=91.85%, Class_Acc=44.48%, Quality=379.9142
Epoch 26: D_Loss=0.3023, G_Loss=4.6270, Disc_Acc=98.19%, Class_Acc=86.30%, Quality=264.0815
Epoch 27: D_Loss=0.3049, G_Loss=5.0494, Disc_Acc=97.74%, Class_Acc=86.24%, Quality=266.3864
Epoch 28: D_Loss=0.2474, G_Loss=5.0893, Disc_Acc=98.72%, Class_Acc=88.22%, Quality=256.6622
Epoch 29: D_Loss=0.2773, G_Loss=5.2339, Disc_Acc=98.09%, Class_Acc=87.51%, Quality=284.8905
Epoch 30: D_Loss=0.1971, G_Loss=5.6762, Disc_Acc=99.05%, Class_Acc=90.16%, Quality=278.1948
Epoch 31: D_Loss=0.1922, G_Loss=5.8396, Disc_Acc=99.01%, Class_Acc=90.83%, Quality=290.1749
Epoch 32: D_Loss=0.2650, G_Loss=6.0602, Disc_Acc=97.44%, Class_Acc=89.49%, Quality=271.5957
Epoch 33: D_Loss=0.2074, G_Loss=5.5029, Disc_Acc=98.34%, Class_Acc=90.91%, Quality=269.0288
Epoch 34: D_Loss=0.1276, G_Loss=5.3662, Disc_Acc=99.79%, Class_Acc=93.62%, Quality=262.1099
Epoch 35: D_Loss=0.2233, G_Loss=5.7694, Disc_Acc=97.85%, Class_Acc=91.86%, Quality=259.0028
Epoch 36: D_Loss=0.2107, G_Loss=5.8103, Disc_Acc=98.04%, Class_Acc=91.63%, Quality=267.1317
Epoch 37: D_Loss=0.2133, G_Loss=5.7146, Disc_Acc=97.91%, Class_Acc=91.79%, Quality=251.4655
Epoch 38: D_Loss=0.1540, G_Loss=5.5722, Disc_Acc=98.94%, Class_Acc=93.80%, Quality=261.8960
Epoch 39: D_Loss=0.2075, G_Loss=5.5080, Disc_Acc=98.42%, Class_Acc=92.75%, Quality=264.9841
Epoch 40: D_Loss=0.1572, G_Loss=5.6140, Disc_Acc=98.65%, Class_Acc=94.30%, Quality=284.4891
Epoch 41: D_Loss=0.1085, G_Loss=5.7051, Disc_Acc=99.44%, Class_Acc=95.75%, Quality=332.4620
Epoch 42: D_Loss=0.1538, G_Loss=6.4562, Disc_Acc=98.34%, Class_Acc=94.15%, Quality=287.4233
Epoch 43: D_Loss=0.1825, G_Loss=5.4635, Disc_Acc=98.25%, Class_Acc=94.31%, Quality=307.6290
Epoch 44: D_Loss=0.1592, G_Loss=5.5554, Disc_Acc=98.46%, Class_Acc=94.78%, Quality=269.6946
Epoch 45: D_Loss=0.1466, G_Loss=5.4612, Disc_Acc=98.92%, Class_Acc=95.01%, Quality=277.3020
Epoch 46: D_Loss=0.1262, G_Loss=5.9909, Disc_Acc=98.99%, Class_Acc=95.44%, Quality=264.9168
Epoch 47: D_Loss=0.1965, G_Loss=5.7281, Disc_Acc=98.17%, Class_Acc=94.34%, Quality=275.0787
Epoch 48: D_Loss=0.0857, G_Loss=5.9579, Disc_Acc=99.40%, Class_Acc=97.15%, Quality=271.5210
Epoch 49: D_Loss=0.1003, G_Loss=5.9301, Disc_Acc=99.13%, Class_Acc=97.05%, Quality=268.8299
